resnet50,Mobilenetv3_large,VGG19,Chair,BI-LSTM
0.24704142499831505,0.05331837099947734,0.20962333299939928,0.0015174260006460827,0.1715782589999435
0.837506370000483,0.051370074001169996,0.05283103700094216,0.0011400559997127857,0.3265308139998524
0.8390212030008115,0.08210246300041035,0.10622811099892715,0.0011845919998449972,0.17460729600134073
0.8527191100001801,0.07979964799960726,0.026641889000529773,0.013756741000179318,0.0020299629995861324
0.4243486480008869,0.03299155599961523,0.05123003700100526,0.05295329600085097,
0.42044414799966034,0.03307446299913863,0.05152342600013071,0.05542736999996123,
0.42102611100017384,0.033179204001498874,0.0529771850015095,0.07855572199878225,
0.41946985100003076,0.0167504809996899,0.013616333999380004,0.07941427799960366,
0.2127793890012981,0.0167748149997351,0.02679018500020902,0.1643266479986778,
0.2117418509988056,0.01787607400001434,0.026178924999840092,0.16242879599849402,
0.21085407399914402,0.01689894499941147,0.027790056001322228,,
0.2102805559989065,0.02293164799993974,0.006470703001468792,,
0.2108056110009784,0.02316544499990414,0.006030500000633765,,
0.21134999999958382,0.009171110999886878,0.005750648999310215,,
0.10653533299955598,0.007562036998933763,0.005798369998956332,,
0.1050252229997568,0.009043574000315857,0.0017805740008043358,,
0.10701555499872484,0.004439315000126953,0.013930314999015536,,
0.007562777000202914,,0.011789111000325647,,
